ra,dec,count
1,-55,1
1,-9,1
1,39,1
1,-63,1
1,-47,1
1,-49,3
1,-7,2
3,-9,1
3,-39,2
3,-27,1
3,-51,1
3,-11,1
3,13,1
3,1,1
5,-79,1
5,-11,1
5,-67,1
5,-15,1
5,45,3
5,-9,4
5,15,1
5,31,3
5,-23,1
5,-19,1
5,-35,1
5,-33,1
5,-59,1
7,-57,3
7,43,1
7,-17,1
7,-31,6
7,-77,1
7,-5,1
7,-41,1
9,55,1
9,61,1
9,5,4
9,-3,1
9,51,1
9,35,1
9,43,1
9,7,1
9,21,1
9,-45,1
11,61,2
11,41,1
11,-37,2
11,-41,1
11,-27,1
11,-65,1
11,21,2
11,-15,2
11,1,2
11,7,3
13,-25,2
13,7,4
13,-83,2
13,5,1
13,9,5
13,-13,1
13,13,2
13,59,1
13,35,1
13,11,2
13,3,1
13,1,2
15,49,1
15,35,2
15,-1,3
15,33,1
15,1,2
15,-19,1
15,5,1
15,-59,1
15,21,1
15,-25,1
15,-61,1
15,-11,1
15,37,1
15,51,1
15,63,1
15,-55,1
17,-39,1
17,75,1
17,7,2
17,11,2
17,-23,2
17,19,2
17,-75,1
17,-9,1
17,-1,1
17,35,1
17,25,1
17,1,1
17,-67,1
19,-57,1
19,-17,3
19,17,2
19,7,4
19,9,2
19,3,2
19,-5,1
19,-53,1
19,21,1
19,-21,1
19,49,1
19,11,1
19,5,1
21,-87,1
21,67,4
21,-47,1
21,77,3
21,1,7
21,-27,1
21,-25,1
21,-41,1
21,-9,1
21,33,1
21,21,1
21,29,1
21,35,1
21,39,1
21,73,1
23,-61,1
23,-19,1
23,29,2
23,65,1
23,-15,1
23,-67,3
23,57,1
25,-51,1
25,41,3
25,27,1
25,-45,2
25,-61,6
25,-55,1
25,3,1
25,-53,1
25,21,1
27,-15,4
27,-19,2
27,21,1
27,77,1
27,3,2
27,-41,1
27,37,1
27,-35,1
27,-55,2
29,-19,3
29,-1,1
29,53,1
29,-29,1
29,-67,1
29,1,1
29,-11,2
29,73,1
31,3,3
31,13,1
31,21,2
31,47,1
31,25,2
31,23,1
31,-21,2
33,-25,1
33,-17,3
33,33,1
33,-31,1
33,-51,1
33,3,1
33,45,1
33,-47,1
33,51,1
33,-35,1
33,-53,2
33,-21,2
35,43,1
35,23,2
35,65,2
35,85,1
35,-39,1
35,33,1
35,47,1
35,11,1
37,-65,1
37,37,1
37,-51,1
37,-27,2
37,-7,1
37,-81,2
39,-1,2
39,-79,2
39,-11,3
39,41,1
39,57,1
39,-3,2
39,25,1
39,-35,1
39,43,1
39,55,1
39,81,1
39,-51,1
41,-61,1
41,1,1
41,-51,1
41,49,3
41,-31,1
41,-1,1
41,-23,1
43,-15,1
43,-59,1
43,71,1
43,-5,1
43,25,1
43,29,1
43,31,1
43,17,3
43,1,1
43,-9,1
43,69,2
43,-11,1
43,-79,1
43,27,2
45,77,1
45,-21,1
45,-17,2
45,49,2
47,-21,1
47,79,1
47,-31,1
47,-73,3
47,31,1
47,-35,1
47,-51,1
47,21,3
49,-1,1
49,5,1
49,25,1
49,73,1
49,15,1
49,-43,2
49,-41,1
51,-43,5
51,-29,5
51,-33,1
51,17,1
51,-7,2
51,-41,1
51,-31,1
51,19,1
51,-63,2
51,-59,2
53,-31,1
53,23,2
53,17,1
53,-23,1
53,-81,1
53,-9,1
53,55,1
53,-49,2
53,-25,2
55,-45,3
55,-1,1
55,19,2
55,-43,3
55,-61,1
55,-53,1
55,31,1
55,13,2
55,-63,5
55,17,2
55,-65,1
57,-71,1
57,61,2
57,41,1
57,-61,1
57,15,1
57,17,2
57,-15,2
59,19,2
59,-31,1
59,17,1
59,-35,1
59,23,3
59,-65,1
59,13,3
59,75,1
