planet_name,star_name,distance_parsecs,mass_earth,radius_earth,temp_kelvin,star_type
Proxima Cen b,Proxima Cen,1.30,1.07,1.03,234,M5.5 V
Barnard b,Barnard's star,1.83,0.37,0.76,400,M3.5-4 V
GJ 887 c,GJ 887,3.29,7.60,2.67,352,M1 V
Ross 128 b,Ross 128,3.38,1.40,1.11,301,M4
YZ Cet d,YZ Cet,3.71,1.09,1.03,357,M4.5 V
Teegarden's Star b,Teegarden's Star,3.83,1.16,1.05,277,M7.0 V
Teegarden's Star c,Teegarden's Star,3.83,1.05,1.02,209,M7.0 V
GJ 1002 b,GJ 1002,4.85,1.08,1.03,231,M5.5 V
GJ 251 b,GJ 251,5.58,4.00,1.83,351,M3.0 V
GJ 411 b,GJ 411,5.68,2.69,1.45,350,M1.5 V
HD 20794 d,HD 20794,6.00,4.80,2.04,388,G8 V
HN Lib b,HN Lib,6.24,5.46,2.20,234,M4.0 V
GJ 514 b,GJ 514,7.62,5.20,2.13,202,M0.5-1.0 V
Gl 686 b,Gl 686,8.16,6.62,2.46,379,M1.0 V
GJ 357 d,GJ 357,9.44,6.10,2.34,220,M2.5 V
Wolf 1069 b,Wolf 1069,9.58,1.26,1.08,250,M5.0 V
GJ 3988 b,GJ 3988,9.91,3.69,1.74,348,M4.5 V
L 98-59 e,L 98-59,10.62,3.06,1.56,342,M3 V
GJ 414 A b,GJ 414 A,11.89,7.60,2.63,309,K7 V
Gliese 12 b,Gliese 12,12.21,3.87,0.96,315,M3.0 V
GJ 1132 c,GJ 1132,12.61,2.64,1.43,300,M4.5 V
HD 40307 f,HD 40307,12.94,5.20,2.13,398,K2.5 V
HD 40307 g,HD 40307,12.94,7.10,2.56,255,K2.5 V
LHS 1140 b,LHS 1140,14.99,5.60,1.73,226,M4.5 V
GJ 3929 c,GJ 3929,15.81,5.71,2.26,317,M3.5 V
G 264-012 c,G 264-012,16.01,3.75,1.76,387,M4.0 V
LTT 3780 c,LTT 3780,21.98,8.04,2.39,359,M3.5 V
TOI-270 d,TOI-270,22.48,4.78,2.13,387,M
TOI-4336 A b,TOI-4336 A,22.55,5.14,2.12,308,M3.5+/-0.5
TOI-198 b,TOI-198,23.73,2.67,1.44,368,M0 V
TOI-1468 c,TOI-1468,24.74,6.64,2.06,338,M3.0 V
LP 791-18 c,LP 791-18,26.49,7.10,2.44,324,M(6.1 +/- 0.7) V
LP 791-18 d,LP 791-18,26.49,0.90,1.03,396,M(6.1 +/- 0.7) V
GJ 3473 c,GJ 3473,27.36,7.41,2.63,329,M4
TOI-406.01,TOI-406,31.06,6.57,2.08,368,M3
K2-239 d,K2-239,31.09,1.37,1.10,399,M3.0 V
TOI-700 c,TOI-700,31.13,7.27,2.60,356,M2.5 V
TOI-700 d,TOI-700,31.13,1.25,1.07,269,M2.5 V
TOI-700 e,TOI-700,31.13,0.82,0.95,273,M2.5 V
TOI-6002 b,TOI-6002,32.03,3.36,1.65,321,M3.5+/-0.5
TOI-2136 b,TOI-2136,33.36,6.37,2.19,395,M4.5 V
TOI-1266 c,TOI-1266,36.01,2.88,2.13,354,M3 V
K2-18 b,K2-18,38.03,8.92,2.37,284,M2.5 V
K2-18 c,K2-18,38.03,7.51,2.65,363,M2.5 V
TOI-237 b,TOI-237,38.08,2.67,1.44,388,M4.5 V
TOI-5713 b,TOI-5713,40.87,3.78,1.77,347,M3.5+/-0.5
TOI-2095 b,TOI-2095,41.92,4.10,1.25,347,M2.5 V
TOI-2095 c,TOI-2095,41.92,7.40,1.33,297,M2.5 V
TOI-715 b,TOI-715,42.41,3.02,1.55,234,M4
K2-3 c,K2-3,44.07,2.68,1.58,372,M V
K2-3 d,K2-3,44.07,2.20,1.46,305,M V
HD 3167 e,HD 3167,47.29,8.41,2.83,375,K0 V
TOI-2096 c,TOI-2096,48.48,4.32,1.91,349,M4
