hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
NSVS 14256825,,40000.0,1.974,0.19,,4.6020599913279625
NY Vir,,32780.0,1.375,0.15,,4.515608949234481
2MASS J19383260+4603591,,29564.0,1.45,0.2,,4.470763193606499
V0391 Peg,sdBV,29300.0,1.433,0.23,s,4.466867620354109
KOI-55,B,27730.0,1.36,0.2,B,4.442949869577862
KIC 10001893,,27500.0,1.431,0.18,,4.439332693830263
mu2 Sco,B2 IV,21700.0,3.8,5.6,B,4.336459733848529
DP Leo,,13500.0,-2.4,0.01,,4.1303337684950066
kap And,B9 IV,10900.0,1.83,2.31,B,4.037426497940624
HIP 78530,B9 V,10500.0,1.368,2.11,B,4.021189299069938
HD 100546,B9 Vne,10500.0,1.5,1.85,B,4.021189299069938
KELT-9,B9.5-A0,10170.0,1.724,2.36,B,4.007320952922744
HD 97048,Be9.5/AO,10000.0,1.602,2.25,B,4.0
AB Aur,,9770.0,1.771,2.96,,3.989894563718773
WASP-178,A1 IV-V,9360.0,1.215,1.67,A,3.971275848738105
HIP 65426,A2 V,8840.0,1.269,1.77,A,3.946452265013073
KELT-20,A2 V,8720.0,1.104,1.57,A,3.940516484932567
HD 56414,,8500.0,1.158,1.75,,3.929418925714293
Kepler-1115,,8480.0,1.254,1.73,,3.9283958522567137
HAT-P-70,,8450.0,1.223,1.86,,3.926856708949692
bet Pic,A5V,8038.68,0.953,1.54,A,3.9051847408155362
WASP-189,,8000.0,1.262,2.36,,3.9030899869919438
HIP 99770,A5-A6,8000.0,1.142,1.94,A,3.9030899869919438
KOI-13,,7986.07,1.05,1.76,,3.9023331125801444
HATS-70,,7930.0,1.079,1.88,,3.8992731873176036
bet Pic,A5V,7890.0,0.958,2.01,A,3.89707700320942
HD 95086,A8 III,7883.0,0.821,1.49,A,3.896691526562884
MASCARA-1,,7845.75,1.111,2.08,,3.894634465487339
MASCARA-4,A7 V,7800.0,1.087,1.92,A,3.8920946026904804
TOI-1994,,7700.0,1.223,2.3,,3.886490725172482
KELT-21,,7598.0,0.905,1.64,,3.8806992892187013
TOI-1431,,7575.0,1.046,1.94,,3.8793826371743427
Kepler-462,,7500.0,0.926,1.57,,3.8750612633917
KELT-19 A,A8 V,7500.0,0.978,1.83,A,3.8750612633917
KELT-17,A,7454.0,0.903,1.65,A,3.8723893884178207
NGTS-33,,7437.0,0.778,1.48,,3.871397781487484
WASP-33,A5,7430.0,0.819,1.44,A,3.870988813760575
HR 8799,A5,7400.0,0.733,1.49,A,3.8692317197309762
HAT-P-69,,7394.0,1.0,1.93,,3.868879446237088
TOI-2497,,7360.0,1.167,2.36,,3.866877814337499
MWC 758,A8Ve,7314.0,1.02,2.01,A,3.8641549560020256
TOI-1518,F0,7300.0,1.462,1.95,F,3.863322860120456
51 Eri,F0 IV,7295.0,0.85,1.49,F,3.86302529622947
HD 169142,,7246.0,0.768,1.54,,3.860098329698518
HR 8799,A5 V,7204.58,0.692,1.49,A,3.857608668148062
HIP 39017,A9/F0,7201.0,0.748,1.52,A,3.8573928109209015
HATS-58 A,,7175.0,0.689,1.43,,3.85582190540603
K2-52,,7147.0,0.027,2.19,,3.854123782101167
Kepler-516,,7099.0,0.798,2.02,,3.8511971761741606
KIC 7917485,A,7067.0,0.996,2.01,A,3.8492350913147226
Kepler-1171,,7044.0,0.869,1.95,,3.847819347295239
Kepler-1517,,7010.0,0.879,1.95,,3.8457180179666586
Kepler-959,,7005.0,0.738,2.01,,3.845408139621793
GPX-1,F2,7000.0,0.727,1.56,F,3.845098040014257
WASP-167,F1 V,7000.0,0.897,1.79,F,3.845098040014257
BD-14 3065 A,,6935.0,1.06,2.35,,3.8410464654093035
OGLE2-TR-L9,,6933.0,0.512,1.53,,3.8409212001987716
WASP-172,,6900.0,0.934,1.91,,3.838849090737255
Kepler-880,,6900.0,0.666,2.6,,3.838849090737255
WASP-100,F2,6900.0,0.766,1.57,F,3.838849090737255
TOI-4153,,6860.0,0.713,1.6,,3.8363241157067516
TOI-615,F2 V,6850.0,0.768,1.73,F,3.8356905714924254
Kepler-1518,,6846.0,0.691,1.88,,3.8354368948018585
Kepler-1626,,6826.0,0.611,1.85,,3.83416628394262
HAT-P-49,F3,6820.0,0.879,1.87,F,3.833784374656479
Kepler-1137,,6807.0,0.754,1.84,,3.8329557506045986
Kepler-1364,,6805.0,0.792,1.79,,3.8328281295393536
HD 2685,,6801.0,0.668,1.56,,3.83257277484618
HR 2562,F5 V,6785.0,0.531,1.47,F,3.831549851995756
XO-3,F5V,6781.0,0.63,1.41,F,3.8312937443770094
Kepler-1360,,6778.0,0.923,1.83,,3.8311015645013593
WASP-121,F6 V,6776.0,0.644,1.46,F,3.8309733973226505
K2-63,,6771.0,0.219,1.63,,3.8306528137974243
Kepler-1015,,6769.0,0.559,1.81,,3.8305245140972586
KELT-7,F,6768.0,0.757,1.73,F,3.8304603500309673
KELT-18,,6767.7,0.844,1.91,,3.830441098962372
Kepler-880,,6761.0,0.666,1.74,,3.8300109359361176
Kepler-812,,6761.0,0.752,1.71,,3.8300109359361176
K2-278,,6747.0,0.399,1.61,,3.8291107101552946
Kepler-644,,6747.0,0.71,1.81,,3.8291107101552946
CoRoT-3,F3 V,6740.0,0.391,1.56,F,3.82865989653532
Kepler-471,,6733.0,0.71,1.8,,3.8282086144679455
CoRoT-36,F3 V,6730.0,0.813,1.52,F,3.828015064223977
Kepler-1326,,6725.0,0.523,1.74,,3.8276922886744456
XO-6,F5,6720.0,0.536,1.93,F,3.8273692730538253
Kepler-1375,,6704.0,0.822,1.78,,3.82633400562222
WASP-93,F4,6700.0,0.618,1.52,F,3.8260748027008264
Kepler-279,,6689.45,0.519,1.07,,3.8253904119704725
Kepler-1181,,6688.0,0.472,1.35,,3.82529626443096
Kepler-1586,,6681.0,0.183,1.75,,3.8248414717537007
Kepler-1244,,6680.0,1.032,1.77,,3.824776462475546
Kepler-1051,,6675.0,0.524,1.73,,3.824451270036613
