DATE,TMAX
1903-01-20,42
1903-01-21,44
1903-01-22,41
1904-01-20,56
1904-01-21,58
1904-01-22,58
1905-01-20,51
1905-01-21,52
1905-01-22,40
1906-01-20,69
1906-01-21,64
1906-01-22,63
1907-01-20,59
1907-01-21,39
1907-01-22,54
1908-01-20,59
1908-01-21,53
1908-01-22,55
1909-01-20,64
1909-01-21,63
1909-01-22,63
1910-01-20,46
1910-01-21,39
1910-01-22,24
1911-01-20,60
1911-01-21,60
1911-01-22,62
1912-01-20,44
1912-01-21,42
1912-01-22,54
1913-01-20,60
1913-01-21,57
1913-01-22,53
1914-01-20,67
1914-01-21,51
1914-01-22,49
1915-01-20,32
1915-01-21,28
1915-01-22,38
1916-01-20,57
1916-01-21,63
1916-01-22,60
1917-01-20,50
1917-01-21,64
1917-01-22,60
1918-01-20,27
1918-01-21,27
1918-01-22,29
1919-01-20,61
1919-01-21,64
1919-01-22,60
1920-01-20,64
1920-01-21,64
1920-01-22,58
1921-01-20,54
1921-01-21,62
1921-01-22,62
1922-01-20,63
1922-01-21,63
1922-01-22,45
1923-01-20,53
1923-01-21,63
1923-01-22,56
1924-01-20,44
1924-01-21,16
1924-01-22,40
1925-01-20,41
1925-01-21,54
1925-01-22,52
1926-01-20,63
1926-01-21,61
1926-01-22,57
1927-01-20,66
1927-01-21,72
1927-01-22,70
1928-01-20,40
1928-01-21,23
1928-01-22,42
1929-01-20,62
1929-01-21,56
1929-01-22,61
1930-01-20,47
1930-01-21,43
1930-01-22,44
1931-01-20,40
1931-01-21,39
1931-01-22,52
1932-01-20,62
1932-01-21,70
1932-01-22,73
1933-01-20,66
1933-01-21,71
1933-01-22,65
1934-01-20,54
1934-01-21,57
1934-01-22,51
1935-01-20,59
1935-01-21,66
1935-01-22,48
1936-01-20,32
1936-01-21,38
1936-01-22,48
1937-01-20,48
1937-01-21,70
1937-01-22,70
1938-01-20,56
1938-01-21,52
1938-01-22,62
1939-01-20,53
1939-01-21,63
1939-01-22,53
1940-01-20,28
1940-01-21,32
1940-01-22,41
1941-01-20,45
1941-01-21,52
1941-01-22,54
1942-01-20,42
1942-01-21,47
1942-01-22,48
1943-01-20,38
1943-01-21,55
1943-01-22,58
1944-01-20,46
1944-01-21,59
1944-01-22,60
1945-01-20,45
1945-01-21,49
1945-01-22,55
1946-01-20,42
1946-01-21,46
1946-01-22,31
1947-01-20,58
1947-01-21,47
1947-01-22,35
1948-01-20,34
1948-01-21,43
1948-01-22,45
1949-01-20,49
1949-01-21,44
1949-01-22,54
1950-01-20,55
1950-01-21,60
1950-01-22,63
1951-01-20,68
1951-01-21,54
1951-01-22,39
1952-01-20,54
1952-01-21,54
1952-01-22,48
1953-01-20,63
1953-01-21,49
1953-01-22,56
1954-01-20,64
1954-01-21,58
1954-01-22,54
1955-01-20,40
1955-01-21,34
1955-01-22,45
1956-01-20,33
1956-01-21,36
1956-01-22,41
1957-01-20,41
1957-01-21,51
1957-01-22,59
1958-01-20,46
1958-01-21,56
1958-01-22,44
1959-01-20,53
1959-01-21,63
1959-01-22,52
1960-01-20,29
1960-01-21,30
1960-01-22,21
1961-01-20,27
1961-01-21,20
1961-01-22,30
1962-01-20,50
1962-01-21,58
1962-01-22,66
1963-01-20,62
1963-01-21,29
1963-01-22,49
1964-01-20,45
1964-01-21,58
1964-01-22,66
1965-01-20,49
1965-01-21,56
1965-01-22,63
1966-01-20,39
1966-01-21,40
1966-01-22,34
1967-01-20,54
1967-01-21,60
1967-01-22,70
1968-01-20,54
1968-01-21,59
1968-01-22,62
1969-01-20,47
1969-01-21,47
1969-01-22,54
1970-01-20,31
1970-01-21,17
1970-01-22,32
1971-01-20,31
1971-01-21,52
1971-01-22,50
1972-01-20,62
1972-01-21,63
1972-01-22,63
1973-01-20,54
1973-01-21,52
1973-01-22,59
1974-01-20,63
1974-01-21,59
1974-01-22,67
1975-01-20,56
1975-01-21,43
1975-01-22,48
1976-01-20,37
1976-01-21,43
1976-01-22,37
1977-01-20,25
1977-01-21,25
1977-01-22,28
1978-01-20,37
1978-01-21,28
1978-01-22,32
1979-01-20,42
1979-01-21,47
1979-01-22,36
1980-01-20,55
1980-01-21,49
1980-01-22,50
1981-01-20,45
1981-01-21,39
1981-01-22,38
1982-01-20,55
1982-01-21,60
1982-01-22,50
1983-01-20,27
1983-01-21,36
1983-01-22,38
1984-01-20,27
1984-01-21,29
1984-01-22,40
1985-01-20,30
1985-01-21,9
1985-01-22,26
1986-01-20,39
1986-01-21,66
1986-01-22,66
1987-01-20,39
1987-01-21,37
1987-01-22,31
1988-01-20,64
1988-01-21,52
1988-01-22,35
1989-01-20,46
1989-01-21,44
1989-01-22,52
1990-01-20,58
