Rk,Team,Seed,Conf,WinLoss,AdjEffMargin,ORtg,DRtg,AdjTempo,Luck,SOSRtg,SOSORtg,SOSDRtg,NCSOSRtg
1,Duke,1,ACC,33-3,+39.00,129.2,90.2,65.8,-.020,+9.87,112.5,102.6,+9.60
2,Houston,1,B12,32-4,+35.87,123.8,88.0,61.6,+.021,+13.88,113.9,100.0,+2.73
3,Florida,1,SEC,32-4,+35.62,128.8,93.2,69.6,+.013,+14.19,114.6,100.5,-2.08
4,Auburn,1,SEC,30-5,+34.95,128.3,93.3,67.9,+.031,+18.63,117.0,98.4,+10.59
5,Tennessee,2,SEC,29-7,+31.21,120.6,89.3,63.8,+.020,+15.91,116.8,100.9,-0.94
6,Alabama,2,SEC,27-8,+30.12,126.7,96.6,75.0,+.034,+19.53,118.1,98.6,+12.64
7,Michigan St.,2,B10,29-6,+28.39,118.8,90.4,67.5,-.008,+13.74,114.4,100.7,+0.51
8,Texas Tech,3,B12,27-8,+28.18,125.4,97.2,66.0,-.036,+11.45,112.3,100.8,-4.50
10,Maryland,4,B10,27-8,+27.25,118.9,91.7,69.5,-.027,+11.60,113.5,101.9,-10.33
13,Arizona,4,B12,24-12,+26.33,122.9,96.5,70.2,-.039,+16.54,115.6,99.1,+5.29
15,Kentucky,3,SEC,24-11,+24.96,123.7,98.8,71.0,+.014,+17.81,116.9,99.1,+3.76
16,Purdue,4,B10,24-11,+24.86,124.4,99.6,65.1,-.001,+16.12,115.9,99.8,+10.61
20,Michigan,5,B10,27-9,+23.41,117.0,93.6,69.8,+.079,+15.94,115.0,99.1,+4.11
21,Mississippi,6,SEC,24-11,+23.28,118.8,95.5,68.1,+.027,+16.63,115.8,99.1,-0.41
24,BYU,6,B12,26-9,+23.11,124.2,101.1,67.4,+.051,+12.23,112.7,100.5,-7.94
36,Arkansas,10,SEC,22-13,+19.07,114.2,95.1,69.4,+.007,+14.82,115.1,100.3,-2.48
