star_type,planet_count,percentage
M2.5 V,17,6.16
M4.5 V,11,3.99
M3.0 V,9,3.26
M4,8,2.9
M3.5 V,8,2.9
M3 V,8,2.9
K0 V,8,2.9
K3 V,8,2.9
K,8,2.9
M,7,2.54
K4 V,7,2.54
K2.5 V,6,2.17
K0.0 V,6,2.17
G8 V,5,1.81
M1,5,1.81
M2.0 V,5,1.81
M1 V,5,1.81
K V,5,1.81
K7 V,5,1.81
M3,4,1.45
F5 V,4,1.45
F6 V,4,1.45
G0 V,4,1.45
M1.0 V,4,1.45
M V,4,1.45
K0.5 V,4,1.45
M0 V,4,1.45
G4 V,4,1.45
M4.0 V,3,1.09
M5.5 V,3,1.09
K5 V,3,1.09
K2 V,3,1.09
M(6.1 +/- 0.7) V,3,1.09
M3.0,3,1.09
K1 V,3,1.09
M3.5+/-0.5,3,1.09
M7.0 V,3,1.09
M2 V,3,1.09
M1.5 V,3,1.09
M0.5 V,3,1.09
A5 V,3,1.09
F8 V,2,0.72
G0,2,0.72
M5.0 V,2,0.72
K4.5,2,0.72
G9 V,2,0.72
M6 V,2,0.72
G,2,0.72
K3V,2,0.72
G6 V,2,0.72
G1 V,2,0.72
G V,2,0.72
K0,1,0.36
M1.5,1,0.36
M0,1,0.36
F8 V CH+0.4,1,0.36
K7-M0 V,1,0.36
DQ,1,0.36
M4 V,1,0.36
M0.0 V,1,0.36
M5 V,1,0.36
M5,1,0.36
F0 IV,1,0.36
G3 IV-V,1,0.36
M4.5+/-0.5,1,0.36
K6 V,1,0.36
M5.0,1,0.36
M7.5,1,0.36
T8.5,1,0.36
m3 V,1,0.36
K8 V,1,0.36
M0.5-1.0 V,1,0.36
M0.5,1,0.36
G5,1,0.36
K5/M0V,1,0.36
K0 IV-V,1,0.36
A5,1,0.36
M3.5 +/- 1.0,1,0.36
K5,1,0.36
K3.5 V,1,0.36
M2,1,0.36
M2.65 V,1,0.36
M0.5+/-0.5 V,1,0.36
M2V:,1,0.36
A5V,1,0.36
M3.5-4 V,1,0.36
K4,1,0.36
K1,1,0.36
G0V,1,0.36
G2 V,1,0.36
