Year,Coach,Wins,Losses,Ties,WL%
2024,Vitello,60,13,0,0.822
2023,Vitello,44,22,0,0.667
2022,Vitello,57,9,0,0.864
2021,Vitello,50,18,0,0.735
2020,Vitello,15,2,0,0.882
2019,Vitello,40,21,0,0.656
2018,Vitello,29,27,0,0.518
2017,Serrano,27,25,0,0.519
2016,Serrano,29,28,0,0.509
2015,Serrano,24,26,0,0.480
2014,Serrano,31,23,0,0.574
2013,Serrano,22,30,0,0.423
2012,Serrano,24,31,0,0.436
2011,Raleigh,25,29,0,0.463
2010,Raleigh,30,26,0,0.536
2009,Raleigh,26,29,0,0.473
2008,Raleigh,27,29,0,0.482
2007,Delmonico,34,25,0,0.576
2006,Delmonico,31,24,0,0.564
2005,Delmonico,46,21,0,0.687
2004,Delmonico,38,24,0,0.613
2003,Delmonico,31,24,0,0.564
2002,Delmonico,27,28,0,0.491
2001,Delmonico,48,20,0,0.706
2000,Delmonico,40,23,0,0.635
1999,Delmonico,28,28,0,0.500
1998,Delmonico,36,20,0,0.643
1997,Delmonico,42,19,0,0.689
1996,Delmonico,43,20,0,0.683
1995,Delmonico,54,16,0,0.771
1994,Delmonico,52,14,0,0.788
1993,Delmonico,45,20,0,0.692
1992,Delmonico,35,20,0,0.636
1991,Delmonico,41,19,0,0.683
1990,Delmonico,28,31,0,0.475
1989,Connor,23,36,0,0.390
1988,Connor,21,29,0,0.420
1987,Whited,17,27,0,0.386
1986,Whited,27,23,0,0.540
1985,Whited,26,23,0,0.531
1984,Whited,27,21,0,0.563
1983,Whited,26,16,0,0.619
1982,Whited,29,17,0,0.630
1981,Wright,21,28,0,0.429
1980,Wright,23,21,0,0.523
1979,Wright,25,22,0,0.532
1978,Wright,25,21,0,0.543
1977,Wright,24,24,1,0.500
1976,Wright,33,17,0,0.660
1975,Wright,32,16,0,0.667
1974,Wright,29,15,0,0.659
1973,Wright,20,15,0,0.571
1972,Wright,19,14,0,0.576
1971,Wright,15,15,1,0.500
1970,Wright,24,10,0,0.706
1969,Wright,19,15,0,0.559
1968,Wright,20,12,0,0.625
1967,Wright,14,16,0,0.467
1966,Wright,22,9,0,0.710
1965,Wright,14,10,0,0.583
1964,Wright,17,14,0,0.548
1963,Wright,11,15,0,0.423
1962,Cafego,14,12,0,0.538
1961,Cafego,15,10,0,0.600
1960,Cafego,9,13,1,0.413
1959,Cafego,9,9,0,0.500
1958,Cafego,2,13,1,0.156
1957,O'Neil,9,14,0,0.391
1956,O'Neil,10,13,0,0.435
1955,O'Neil,13,8,0,0.619
1954,O'Neil,8,17,0,0.320
1953,O'Neil,14,8,0,0.636
1952,Anderson,11,9,0,0.550
1951,Anderson,20,3,0,0.870
1950,Anderson,8,9,0,0.471
1949,Anderson,6,12,0,0.333
1948,Anderson,4,18,1,0.196
1947,Peel,13,6,0,0.684
1946,No Coach,0,0,0,
1945,No Coach,0,0,0,
1944,No Coach,0,0,0,
1943,No Coach,0,0,0,
1942,Mauer,6,6,0,0.500
1941,Mauer,7,6,0,0.538
1940,Mauer,4,9,0,0.308
1939,Mauer,7,2,0,0.778
1938,No Coach,0,0,0,
1937,No Coach,0,0,0,
1936,No Coach,0,0,0,
1935,No Coach,0,0,0,
1934,No Coach,0,0,0,
1933,No Coach,0,0,0,
1932,No Coach,0,0,0,
1931,Harkness,0,0,0,
1930,Harkness,4,4,0,0.500
1929,Harkness,3,5,0,0.375
1928,Harkness,3,9,0,0.250
1927,Harkness,3,9,0,0.250
1926,Banks,5,6,0,0.455
1925,Banks,4,5,0,0.444
1924,Banks,9,9,0,0.500
1923,Banks,5,5,1,0.500
1922,Banks,5,10,2,0.353
1921,Banks,10,7,0,0.588
1920,Bender,9,5,0,0.643
1919,Moffett,5,7,1,0.423
1918,Moffett,8,2,0,0.800
1917,Bender,7,6,0,0.538
1916,Clevenger,13,5,0,0.722
1915,Clevenger,10,6,0,0.625
1914,Clevenger,6,6,1,0.500
1913,Clevenger,5,8,1,0.393
1912,Clevenger,7,11,1,0.395
1911,Clevenger,10,8,0,0.556
1910,Moffett,11,7,0,0.611
1909,Moffett,18,5,1,0.771
1908,Moffett,16,3,0,0.842
1907,Moffett,17,10,0,0.630
1906,Moffett,7,8,0,0.467
1905,Moffett,3,5,0,0.375
1904,Moffett,9,5,0,0.643
1903,Moffett,8,10,0,0.444
1902,Newman,8,4,0,0.667
1901,No Coach,0,0,0,
1900,Cornick,6,5,0,0.545
1899,Harrison,0,0,0,
1898,Greer,0,0,0,
1897,Aydelott,6,9,1,0.406
